,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat,5%,-$1\sigma$,median,+$1\sigma$,95%
a_Rs_c[11],52.39989,3.47835,45.81493,58.77515,0.33706,0.239,96.50537,512.22356,1.03822,46.76644,49.02308,52.38551,55.50555,58.44556
a_Rs_c[12],47.08759,3.12572,41.17021,52.81652,0.30289,0.21477,96.50537,512.22356,1.03822,42.02526,44.05311,47.07466,49.8784,52.52034
a_Rs_c[13],44.89696,2.9803,39.25487,50.35937,0.2888,0.20477,96.50537,512.22356,1.03822,40.07014,42.00366,44.88464,47.55794,50.07697
a_Rs_c[14],42.94453,2.8507,37.5478,48.16939,0.27624,0.19587,96.50537,512.22356,1.03822,38.32761,40.17704,42.93274,45.48978,47.89927
a_Rs_c[15],38.16639,2.53352,33.37012,42.80992,0.24551,0.17408,96.50537,512.22356,1.03822,34.06317,35.70683,38.15592,40.42846,42.56986
a_Rs_c[16],36.85015,2.44615,32.21928,41.33353,0.23704,0.16807,96.50537,512.22356,1.03822,32.88843,34.4754,36.84003,39.0342,41.10175
incl_c[0],89.89834,0.01651,89.8698,89.9303,0.00104,0.00074,244.16916,675.04999,1.01976,89.87327,89.88216,89.89724,89.91439,89.92553
incl_c[1],89.78853,0.03434,89.72918,89.85503,0.00217,0.00153,244.16916,675.04999,1.01976,89.73638,89.75488,89.78626,89.82192,89.8451
incl_c[2],89.70273,0.04827,89.61929,89.79621,0.00305,0.00216,244.16916,675.04999,1.01976,89.62942,89.65543,89.69954,89.74966,89.78226
incl_c[3],89.62797,0.06041,89.52356,89.74496,0.00381,0.0027,244.16916,675.04999,1.01976,89.53623,89.56878,89.62398,89.68671,89.72751
incl_c[4],89.56012,0.07143,89.43666,89.69844,0.00451,0.00319,244.16916,675.04999,1.01976,89.45164,89.49012,89.55539,89.62957,89.6778
incl_c[5],89.49715,0.08166,89.35601,89.65527,0.00515,0.00365,244.16916,675.04999,1.01976,89.37315,89.41714,89.49175,89.57654,89.63168
incl_c[6],89.43791,0.09128,89.28014,89.61466,0.00576,0.00408,244.16916,675.04999,1.01976,89.2993,89.34847,89.43187,89.52666,89.58829
incl_c[7],89.38164,0.10042,89.20808,89.57609,0.00634,0.00449,244.16916,675.04999,1.01976,89.22915,89.28325,89.375,89.47927,89.54708
incl_c[8],89.32783,0.10916,89.13916,89.5392,0.00689,0.00488,244.16916,675.04999,1.01976,89.16207,89.22087,89.32061,89.43396,89.50766
incl_c[9],89.27609,0.11756,89.0729,89.50373,0.00742,0.00525,244.16916,675.04999,1.01976,89.09757,89.1609,89.26832,89.39039,89.46977
incl_c[10],89.22614,0.12568,89.00892,89.46949,0.00793,0.00561,244.16916,675.04999,1.01976,89.03529,89.103,89.21783,89.34832,89.43318
incl_c[11],89.17775,0.13353,88.94695,89.43632,0.00843,0.00596,244.16916,675.04999,1.01976,88.97497,89.04691,89.16892,89.30757,89.39774
incl_c[12],89.08497,0.1486,88.82813,89.37272,0.00938,0.00664,244.16916,675.04999,1.01976,88.85931,88.93937,89.07515,89.22945,89.32979
incl_c[13],89.04032,0.15586,88.77095,89.34211,0.00983,0.00696,244.16916,675.04999,1.01976,88.80365,88.88761,89.03002,89.19185,89.29709
incl_c[14],88.99669,0.16294,88.71506,89.3122,0.01028,0.00728,244.16916,675.04999,1.01976,88.74925,88.83703,88.98592,89.15511,89.26513
incl_c[15],88.87107,0.18335,88.55416,89.22609,0.01157,0.00819,244.16916,675.04999,1.01976,88.59264,88.69141,88.85895,89.04933,89.17313
incl_c[16],88.83074,0.1899,88.50251,89.19844,0.01198,0.00848,244.16916,675.04999,1.01976,88.54236,88.64466,88.81818,89.01537,89.14359
u_star_tess[0],0.37839,0.09111,0.20663,0.54316,0.0028,0.00198,1062.80283,1333.74415,1.00258,0.22961,0.28647,0.37823,0.47197,0.5248
u_star_tess[1],0.16273,0.08957,0.00162,0.30676,0.0044,0.00311,367.84269,294.02288,1.01396,0.02251,0.06488,0.15797,0.25418,0.31656
u_star_cheops[0],0.57128,0.09491,0.39286,0.74282,0.00234,0.00167,1645.48145,1561.90514,1.00002,0.41116,0.47514,0.5724,0.66841,0.72333
u_star_cheops[1],0.15095,0.0848,0.00723,0.30091,0.00324,0.00229,595.44788,583.96207,1.00409,0.02656,0.06347,0.14295,0.23669,0.30333
dist_in_transit_b,20.54447,2.93634,15.6024,26.61936,0.34313,0.2436,66.70785,444.40549,1.04922,16.38472,17.98378,20.11711,23.3094,25.90915
vel_b,10.66956,0.94382,8.8801,12.41192,0.04064,0.02875,587.95553,715.15931,1.00974,8.9886,9.7594,10.7553,11.55235,12.10242
logvel_b,2.36329,0.09193,2.19136,2.52411,0.00403,0.00285,587.95553,715.15931,1.00974,2.19596,2.27823,2.3754,2.44689,2.49341
tdur_b[0],0.14044,0.00378,0.13513,0.14906,0.00016,0.00011,633.11871,879.65094,1.00403,0.1359,0.13727,0.13953,0.14362,0.14835
per_prior_c[0],-9.76949,3e-05,-9.76954,-9.76943,0.0,0.0,1000.09449,1510.63048,1.00508,-9.76953,-9.76952,-9.76949,-9.76945,-9.76943
per_prior_c[1],-6.83986,3e-05,-6.83991,-6.83979,0.0,0.0,1000.09449,1510.63048,1.00508,-6.8399,-6.83989,-6.83986,-6.83982,-6.8398
per_prior_c[2],-5.47766,3e-05,-5.47771,-5.47759,0.0,0.0,1000.09449,1510.63048,1.00508,-5.4777,-5.47769,-5.47766,-5.47762,-5.4776
per_prior_c[3],-4.5804,3e-05,-4.58045,-4.58033,0.0,0.0,1000.09449,1510.63048,1.00508,-4.58044,-4.58043,-4.5804,-4.58036,-4.58034
per_prior_c[4],-3.91022,3e-05,-3.91027,-3.91016,0.0,0.0,1000.09449,1510.63048,1.00508,-3.91027,-3.91026,-3.91023,-3.91019,-3.91017
per_prior_c[5],-3.3751,3e-05,-3.37515,-3.37504,0.0,0.0,1000.09449,1510.63048,1.00508,-3.37515,-3.37513,-3.37511,-3.37507,-3.37505
per_prior_c[6],-2.92962,3e-05,-2.92967,-2.92956,0.0,0.0,1000.09449,1510.63048,1.00508,-2.92967,-2.92966,-2.92963,-2.92959,-2.92957
per_prior_c[7],-2.54802,3e-05,-2.54807,-2.54796,0.0,0.0,1000.09449,1510.63048,1.00508,-2.54807,-2.54805,-2.54803,-2.54799,-2.54797
per_prior_c[8],-2.21425,3e-05,-2.2143,-2.21419,0.0,0.0,1000.09449,1510.63048,1.00508,-2.2143,-2.21429,-2.21426,-2.21422,-2.2142
per_prior_c[9],-1.91765,3e-05,-1.9177,-1.91759,0.0,0.0,1000.09449,1510.63048,1.00508,-1.9177,-1.91768,-1.91766,-1.91762,-1.9176
per_prior_c[10],-1.65076,3e-05,-1.65081,-1.6507,0.0,0.0,1000.09449,1510.63048,1.00508,-1.65081,-1.65079,-1.65077,-1.65073,-1.65071
per_prior_c[11],-1.40817,3e-05,-1.40822,-1.40811,0.0,0.0,1000.09449,1510.63048,1.00508,-1.40822,-1.4082,-1.40818,-1.40814,-1.40811
per_prior_c[12],-0.98059,3e-05,-0.98064,-0.98053,0.0,0.0,1000.09449,1510.63048,1.00508,-0.98064,-0.98062,-0.98059,-0.98056,-0.98053
per_prior_c[13],-0.79003,3e-05,-0.79008,-0.78997,0.0,0.0,1000.09449,1510.63048,1.00508,-0.79008,-0.79007,-0.79004,-0.79,-0.78998
per_prior_c[14],-0.61219,3e-05,-0.61224,-0.61213,0.0,0.0,1000.09449,1510.63048,1.00508,-0.61224,-0.61222,-0.61219,-0.61216,-0.61213
per_prior_c[15],-0.14038,3e-05,-0.14043,-0.14031,0.0,0.0,1000.09449,1510.63048,1.00508,-0.14042,-0.14041,-0.14038,-0.14034,-0.14032
per_prior_c[16],1e-05,3e-05,-4e-05,7e-05,0.0,0.0,1000.09449,1510.63048,1.00508,-4e-05,-2e-05,0.0,4e-05,7e-05
max_ecc_c[0],0.93098,0.00615,0.91974,0.93721,0.0004,0.00028,185.16578,225.66258,1.02802,0.9182,0.92478,0.93319,0.93641,0.93695
max_ecc_c[1],0.85643,0.0128,0.83305,0.86939,0.00083,0.00059,185.16578,225.66258,1.02802,0.82986,0.84353,0.86102,0.86772,0.86884
max_ecc_c[2],0.79818,0.01799,0.76531,0.8164,0.00117,0.00083,185.16578,225.66258,1.02802,0.76083,0.78005,0.80463,0.81405,0.81563
max_ecc_c[3],0.74743,0.02251,0.7063,0.77023,0.00146,0.00104,185.16578,225.66258,1.02802,0.70068,0.72474,0.75551,0.76729,0.76927
max_ecc_c[4],0.70137,0.02662,0.65273,0.72832,0.00173,0.00124,185.16578,225.66258,1.02802,0.64609,0.67453,0.71091,0.72484,0.72718
max_ecc_c[5],0.65862,0.03043,0.60302,0.68943,0.00198,0.00142,185.16578,225.66258,1.02802,0.59543,0.62794,0.66953,0.68545,0.68813
max_ecc_c[6],0.6184,0.03401,0.55625,0.65284,0.00221,0.00159,185.16578,225.66258,1.02802,0.54777,0.58411,0.6306,0.6484,0.65139
max_ecc_c[7],0.5802,0.03741,0.51183,0.61809,0.00243,0.00175,185.16578,225.66258,1.02802,0.5025,0.54248,0.59362,0.6132,0.6165
max_ecc_c[8],0.54367,0.04067,0.46935,0.58486,0.00264,0.00191,185.16578,225.66258,1.02802,0.4592,0.50267,0.55826,0.57954,0.58312
max_ecc_c[9],0.50855,0.0438,0.42851,0.5529,0.00284,0.00206,185.16578,225.66258,1.02802,0.41758,0.46439,0.52426,0.54718,0.55104
max_ecc_c[10],0.47464,0.04682,0.38908,0.52205,0.00304,0.00221,185.16578,225.66258,1.02802,0.37739,0.42743,0.49143,0.51594,0.52006
max_ecc_c[11],0.44179,0.04975,0.35088,0.49217,0.00323,0.00236,185.16578,225.66258,1.02802,0.33847,0.39163,0.45964,0.48567,0.49005
max_ecc_c[12],0.37882,0.05536,0.27765,0.43488,0.00359,0.00265,185.16578,225.66258,1.02802,0.26383,0.323,0.39867,0.42765,0.43252
max_ecc_c[13],0.34851,0.05807,0.2424,0.40731,0.00377,0.0028,185.16578,225.66258,1.02802,0.22791,0.28997,0.36933,0.39972,0.40483
max_ecc_c[14],0.31889,0.0607,0.20796,0.38036,0.00394,0.00294,185.16578,225.66258,1.02802,0.19281,0.25768,0.34066,0.37243,0.37777
max_ecc_c[15],0.23362,0.0683,0.1088,0.30279,0.00443,0.00339,185.16578,225.66258,1.02802,0.09176,0.16475,0.25812,0.29386,0.29987
max_ecc_c[16],0.20624,0.07074,0.07697,0.27788,0.00459,0.00354,185.16578,225.66258,1.02802,0.05932,0.13492,0.23162,0.26864,0.27487
v_prior_c[0],-136.03926,13.74405,-155.14595,-111.63631,0.48129,0.34045,1043.78619,1030.02151,1.005,-151.39384,-147.6017,-138.65247,-125.73647,-110.04291
v_prior_c[1],-86.97342,17.2289,-114.18432,-55.31337,0.58288,0.41229,1043.32836,1030.02151,1.00495,-108.38057,-102.64437,-89.68016,-72.35635,-53.50511
v_prior_c[2],-60.60374,16.64784,-87.37854,-27.83817,0.54892,0.38827,1044.27821,1030.02151,1.00491,-82.79342,-76.4945,-62.71645,-45.37939,-28.12531
v_prior_c[3],-43.60177,15.1139,-69.63671,-14.03986,0.48683,0.34434,1042.28571,1030.02151,1.00459,-64.93815,-58.57491,-45.05445,-28.95464,-14.27227
v_prior_c[4],-31.79286,13.34682,-54.49298,-4.54568,0.42019,0.29721,1066.25234,1064.34271,1.00475,-51.62412,-45.43126,-32.63151,-18.19964,-6.24252
v_prior_c[5],-23.25075,11.59747,-40.66901,2.13248,0.3576,0.25293,1081.79437,1073.34051,1.00457,-41.31461,-35.41378,-23.5468,-10.9178,-2.0614
v_prior_c[6],-16.93241,9.94521,-32.52291,2.13779,0.29995,0.21215,1112.39812,1291.85975,1.00326,-33.13536,-27.59068,-16.7555,-5.99374,0.1985
v_prior_c[7],-12.19252,8.45569,-25.96256,2.13392,0.25011,0.1769,1157.67816,1345.07712,1.00263,-26.53732,-21.40208,-11.60176,-2.81076,1.33477
v_prior_c[8],-8.62543,7.14729,-20.65372,2.1282,0.20887,0.14773,1193.83346,1463.1722,1.00269,-21.27245,-16.42187,-7.72779,-0.54663,1.70679
v_prior_c[9],-6.08116,8.96795,-16.40171,2.12578,0.24562,0.17372,1171.71904,1631.68154,1.0014,-16.95253,-12.5379,-4.75006,0.66837,1.81421
v_prior_c[10],-4.25502,10.88112,-13.04626,2.11999,0.35533,0.25133,1142.71345,1236.15215,1.00204,-13.61051,-9.3351,-2.56442,1.30464,1.94422
v_prior_c[11],-3.32476,15.53844,-10.26346,2.11745,0.48705,0.34449,1090.00305,1268.4703,1.00311,-10.79046,-6.82642,-1.0152,1.56525,2.02983
v_prior_c[12],-3.0246,26.62801,-6.56872,2.11044,0.93605,0.66213,1122.09144,1076.82006,1.00678,-7.16372,-3.46249,0.7266,1.85024,2.07271
v_prior_c[13],-4.24203,33.55533,-5.64713,2.10714,1.2179,0.86152,1027.36982,982.07147,1.00537,-6.61257,-2.47182,1.01029,1.94687,2.08552
v_prior_c[14],-7.11122,44.02354,-6.45689,2.17371,1.55571,1.10046,977.98409,986.66317,1.00349,-7.93596,-1.90629,1.12089,1.96269,2.08594
v_prior_c[15],-32.53452,89.48889,-302.6136,2.17466,3.22362,2.28031,1034.53592,853.44263,1.0032,-302.84822,-7.21276,1.36381,1.91681,2.08399
v_prior_c[16],-46.52499,103.64535,-303.15374,2.21142,3.92462,2.77629,898.55916,846.69103,1.00233,-303.52497,-111.22324,1.16545,1.90968,2.07676
logprior_c[0],-145.80875,13.74405,-164.91544,-121.4058,0.48129,0.34045,1043.78619,1030.02151,1.00499,-161.16337,-157.37115,-148.42197,-135.50595,-119.8124
logprior_c[1],-93.81328,17.2289,-121.02417,-62.15323,0.58288,0.41229,1043.32088,1030.02151,1.00497,-115.22046,-109.48419,-96.52002,-79.1962,-60.34497
logprior_c[2],-66.0814,16.64785,-92.85621,-33.31583,0.54892,0.38827,1044.28218,1030.02151,1.00491,-88.27111,-81.97211,-68.19411,-50.85704,-33.60297
logprior_c[3],-48.18217,15.1139,-74.21712,-18.62026,0.48683,0.34434,1042.28062,1030.02151,1.00461,-69.51858,-63.15527,-49.63485,-33.53504,-18.85267
logprior_c[4],-35.70309,13.34682,-58.40315,-8.45592,0.42019,0.29721,1066.26607,1064.34271,1.00475,-55.53438,-49.34144,-36.54173,-22.10986,-10.15267
logprior_c[5],-26.62586,11.59747,-44.04412,-1.2426,0.3576,0.25293,1081.79991,1073.34051,1.00459,-44.68975,-38.78885,-26.92192,-14.29288,-5.43653
logprior_c[6],-19.86203,9.94521,-35.45254,-0.79183,0.29995,0.21216,1112.40442,1291.85975,1.00327,-36.06502,-30.52027,-19.68511,-8.92332,-2.73111
logprior_c[7],-14.74055,8.45569,-28.51062,-0.41408,0.25011,0.1769,1157.68456,1345.07712,1.00263,-29.08538,-23.95007,-14.14979,-5.35879,-1.21327
logprior_c[8],-10.83968,7.14729,-22.86803,-0.08602,0.20887,0.14773,1193.83066,1463.1722,1.00268,-23.48676,-18.6361,-9.94208,-2.76086,-0.50748
logprior_c[9],-7.99881,8.96795,-18.31928,0.20816,0.24562,0.17372,1171.63677,1631.68154,1.00139,-18.87019,-14.45556,-6.6677,-1.24925,-0.10342
logprior_c[10],-5.90578,10.88112,-14.69706,0.46924,0.35533,0.25133,1142.69894,1236.15215,1.00204,-15.26129,-10.98587,-4.2152,-0.34614,0.29342
logprior_c[11],-4.73293,15.53844,-11.67162,0.70922,0.48705,0.34449,1089.76338,1268.4703,1.00309,-12.19861,-8.2346,-2.4234,0.15706,0.62165
logprior_c[12],-4.00519,26.62801,-7.54933,1.12991,0.93605,0.66213,1122.13161,1076.82006,1.00679,-8.14432,-4.44307,-0.25397,0.86967,1.0921
logprior_c[13],-5.03207,33.55533,-6.43717,1.3171,1.2179,0.86152,1027.56316,982.07147,1.00537,-7.40261,-3.2618,0.22026,1.15686,1.29547
logprior_c[14],-7.72341,44.02354,-7.06908,1.56155,1.55571,1.10046,977.88969,986.66317,1.00349,-8.54814,-2.51848,0.5087,1.35053,1.47375
logprior_c[15],-32.6749,89.48889,-302.75396,2.03426,3.22362,2.28031,1036.83141,853.44263,1.00319,-302.98854,-7.35314,1.22346,1.77642,1.94358
logprior_c[16],-46.52498,103.64535,-303.1537,2.21139,3.92462,2.77629,887.44064,846.69103,1.00204,-303.52496,-111.2232,1.16545,1.90972,2.07674
logprob_c[0],-145.80875,13.74405,-164.91544,-121.4058,0.48129,0.34045,1043.78619,1030.02151,1.00499,-161.16337,-157.37115,-148.42197,-135.50595,-119.8124
logprob_c[1],-93.81328,17.2289,-121.02417,-62.15323,0.58288,0.41229,1043.32088,1030.02151,1.00497,-115.22046,-109.48419,-96.52002,-79.1962,-60.34497
logprob_c[2],-66.0814,16.64785,-92.85621,-33.31583,0.54892,0.38827,1044.28218,1030.02151,1.00491,-88.27111,-81.97211,-68.19411,-50.85704,-33.60297
logprob_c[3],-48.18217,15.1139,-74.21712,-18.62026,0.48683,0.34434,1042.28062,1030.02151,1.00461,-69.51858,-63.15527,-49.63485,-33.53504,-18.85267
logprob_c[4],-35.70309,13.34682,-58.40315,-8.45592,0.42019,0.29721,1066.26607,1064.34271,1.00475,-55.53438,-49.34144,-36.54173,-22.10986,-10.15267
logprob_c[5],-26.62586,11.59747,-44.04412,-1.2426,0.3576,0.25293,1081.79991,1073.34051,1.00459,-44.68975,-38.78885,-26.92192,-14.29288,-5.43653
logprob_c[6],-19.86203,9.94521,-35.45254,-0.79183,0.29995,0.21216,1112.40442,1291.85975,1.00327,-36.06502,-30.52027,-19.68511,-8.92332,-2.73111
logprob_c[7],-14.74055,8.45569,-28.51062,-0.41408,0.25011,0.1769,1157.68456,1345.07712,1.00263,-29.08538,-23.95007,-14.14979,-5.35879,-1.21327
logprob_c[8],-10.83968,7.14729,-22.86803,-0.08602,0.20887,0.14773,1193.83066,1463.1722,1.00268,-23.48676,-18.6361,-9.94208,-2.76086,-0.50748
logprob_c[9],-7.99881,8.96795,-18.31928,0.20816,0.24562,0.17372,1171.63677,1631.68154,1.00139,-18.87019,-14.45556,-6.6677,-1.24925,-0.10342
logprob_c[10],-5.90578,10.88112,-14.69706,0.46924,0.35533,0.25133,1142.69894,1236.15215,1.00204,-15.26129,-10.98587,-4.2152,-0.34614,0.29342
logprob_c[11],-4.73293,15.53844,-11.67162,0.70922,0.48705,0.34449,1089.76338,1268.4703,1.00309,-12.19861,-8.2346,-2.4234,0.15706,0.62165
logprob_c[12],-4.00519,26.62801,-7.54933,1.12991,0.93605,0.66213,1122.13161,1076.82006,1.00679,-8.14432,-4.44307,-0.25397,0.86967,1.0921
logprob_c[13],-5.03207,33.55533,-6.43717,1.3171,1.2179,0.86152,1027.56316,982.07147,1.00537,-7.40261,-3.2618,0.22026,1.15686,1.29547
logprob_c[14],-7.72341,44.02354,-7.06908,1.56155,1.55571,1.10046,977.88969,986.66317,1.00349,-8.54814,-2.51848,0.5087,1.35053,1.47375
logprob_c[15],-32.6749,89.48889,-302.75396,2.03426,3.22362,2.28031,1036.83141,853.44263,1.00319,-302.98854,-7.35314,1.22346,1.77642,1.94358
logprob_c[16],-46.52498,103.64535,-303.1537,2.21139,3.92462,2.77629,887.44064,846.69103,1.00204,-303.52496,-111.2232,1.16545,1.90972,2.07674
ecc_c,0.81636,0.04314,0.74227,0.87199,0.00154,0.00109,1042.81595,1030.02151,1.00501,0.73706,0.78651,0.82512,0.85087,0.86153
ecc_marg_c,0.81636,0.04314,0.74227,0.87199,0.00154,0.00109,1042.81595,1030.02151,1.00501,0.73706,0.78651,0.82512,0.85087,0.86153
vel_marg_c,1.01242,0.03438,0.97153,1.07829,0.00097,0.00068,1150.93401,1219.62556,1.00252,0.97966,0.98348,0.99851,1.04595,1.08253
per_marg_c,25.27772,10.06002,19.03843,39.31451,0.38529,0.27973,1041.8837,1030.02151,1.0047,19.22839,19.49292,22.11254,29.38323,41.15156
